,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
8526,1,1,1,1,1.0,4,2,0.35080809123697,0.6491919087629314,1,0,1,2
8527,1,1,1,1,0.0,4,2,0.4293803756258125,0.5706196243741495,1,0,1,2
8528,1,1,2,1,-10.0,4,2,0.5206897348317999,0.479310265168269,1,0,1,1
8529,1,1,1,2,-1.0,4,3,0.6146845795738578,0.3853154204262398,1,0,1,1
8530,0,1,-1,1,,4,2,0.7245055933742156,0.2754944066258548,1,0,1,1
8531,1,-1,-1,0,,4,-1,0.7785149013250056,0.2214850986750331,0,0,0,1
8532,0,1,-1,0,,4,1,0.7905860303481762,0.2094139696518938,1,0,1,1
8533,1,-1,1,0,-2.0,4,-1,0.7852371984754272,0.2147628015244957,1,0,1,1
8534,1,1,1,1,-3.0,4,2,0.7599388729553487,0.240061127044691,1,0,1,1
8535,0,1,-1,1,,4,2,0.7409747141195331,0.2590252858803621,1,0,1,1
8536,1,-1,2,0,10.0,4,-1,0.6937751455856751,0.306224854414228,1,0,1,1
8537,1,1,1,2,-3.0,4,3,0.6225512308694408,0.3774487691304928,1,0,1,1
8538,1,1,1,1,-3.0,4,2,0.5623636255526954,0.4376363744472474,1,0,1,1
8539,1,1,1,1,-2.0,4,2,0.5117031819812744,0.4882968180188066,1,0,1,1
8540,0,1,-1,1,,4,2,0.4692996371303802,0.5307003628695065,1,0,1,2
8541,1,-1,2,0,-10.0,4,-1,0.3777916383560317,0.6222083616438638,1,0,1,2
8542,1,1,-1,2,,4,3,0.2417281691239834,0.7582718308759419,0,0,0,2
8543,1,1,1,0,1.0,4,1,0.1884483838728257,0.8115516161272042,1,0,1,2
8544,1,1,1,1,-2.0,4,2,0.1418521553686421,0.8581478446314126,1,0,1,2
8545,1,1,-1,1,,4,2,0.1007711269611516,0.8992288730387417,0,0,0,2
8546,1,1,1,0,1.0,4,1,0.0874305371729763,0.9125694628269624,1,0,1,2
8547,1,1,1,1,1.0,4,2,0.075507560709035,0.9244924392910658,1,0,1,2
8548,1,1,1,1,3.0,4,2,0.0647032401366647,0.9352967598632216,1,0,1,2
8549,1,1,2,1,-10.0,4,2,0.0547466672687334,0.9452533327312744,1,0,1,2
8550,1,1,1,2,1.0,4,3,0.0432960404936807,0.95670395950639,1,0,1,2
8551,1,1,-1,1,,4,2,0.032336294953071,0.9676637050469123,0,0,0,2
8552,1,1,1,0,-3.0,4,1,0.0313446649433809,0.9686553350566964,1,0,1,2
8553,1,1,1,1,-2.0,4,2,0.029944056884434,0.9700559431156448,1,0,1,2
8554,1,1,-1,1,,4,2,0.0280993518450853,0.9719006481550272,0,0,0,2
8555,1,1,1,0,0.0,4,1,0.0345682504690835,0.9654317495309614,1,0,1,2
8556,1,1,-1,1,,4,2,0.0409412232089122,0.9590587767911845,0,0,0,2
8557,1,1,2,0,10.0,4,1,0.0621567716674278,0.937843228332538,1,0,1,2
8558,1,1,-1,2,,4,3,0.082110461381518,0.917889538618588,0,0,0,2
8559,1,1,1,0,1.0,4,1,0.1353802692130221,0.8646197307869153,1,0,1,2
8560,1,1,-1,1,,4,2,0.1957986547902764,0.8042013452097561,0,0,0,2
8561,1,1,1,0,-3.0,4,1,0.3473336936843346,0.6526663063157003,1,0,1,2
8562,0,1,-1,1,,4,2,0.5219759969139205,0.4780240030860688,1,0,1,1
8563,1,-1,1,0,0.0,4,-1,0.6090107997390193,0.3909892002609483,1,0,1,1
8564,0,1,-1,1,,4,2,0.6495980020280524,0.3504019979719429,1,0,1,1
8565,1,-1,1,0,-2.0,4,-1,0.6629318241151396,0.3370681758849367,1,0,1,1
8566,1,1,2,1,-10.0,4,2,0.6553180053613485,0.3446819946386772,1,0,1,1
8567,1,1,1,2,-2.0,4,3,0.6492511591581621,0.3507488408418161,1,0,1,1
8568,0,1,-1,1,,4,2,0.6484490602626446,0.351550939737464,1,0,1,1
8569,0,-1,-1,0,,4,-1,0.6251438612109357,0.3748561387889865,1,1,1,1
8570,0,-1,-1,0,,4,-1,0.6078697387099752,0.3921302612899629,1,1,1,1
8571,0,-1,-1,0,,4,-1,0.596193560368045,0.4038064396319856,1,1,1,1
8572,1,-1,1,0,-2.0,4,-1,0.5898225569833551,0.4101774430166488,1,0,1,1
8573,1,1,2,1,10.0,4,2,0.5582450943041681,0.4417549056958004,1,0,1,1
8574,0,1,-1,2,,4,3,0.5281199548563908,0.4718800451436755,1,0,1,1
8575,0,-1,-1,0,,4,-1,0.4586322337169889,0.5413677662830978,1,1,1,2
8576,0,-1,-1,0,,4,-1,0.3993410518625247,0.6006589481375377,1,1,1,2
8577,0,-1,-1,0,,4,-1,0.3487597386149388,0.6512402613850409,1,1,1,2
8578,1,-1,2,0,-10.0,4,-1,0.3056200150683761,0.6943799849316465,1,0,1,2
8579,1,1,1,2,3.0,4,3,0.2379749435542071,0.762025056445876,1,0,1,2
8580,1,1,-1,1,,4,2,0.1790955897925627,0.8209044102075355,0,0,0,2
8581,1,1,1,0,3.0,4,1,0.1594591436909948,0.8405408563089359,1,0,1,2
8582,1,1,-1,1,,4,2,0.1426766965504612,0.857323303449578,0,0,0,2
8583,1,1,2,0,10.0,4,1,0.1466213247954102,0.853378675204635,1,0,1,2
8584,1,1,1,2,1.0,4,3,0.1496205691892832,0.8503794308106619,1,0,1,2
8585,1,1,1,1,3.0,4,2,0.1545240592092744,0.8454759407906326,1,0,1,2
8586,1,1,-1,1,,4,2,0.1614547452605838,0.8385452547393454,0,0,0,2
8587,1,1,1,0,-3.0,4,1,0.1954260745446975,0.804573925455354,1,0,1,2
8588,1,1,1,1,-1.0,4,2,0.2345042502372918,0.7654957497627838,1,0,1,2
8589,1,1,1,1,-3.0,4,2,0.2796691208780332,0.7203308791218597,1,0,1,2
8590,1,1,1,1,2.0,4,2,0.3320531531637281,0.6679468468362082,1,0,1,2
8591,0,1,-1,1,,4,2,0.3929698274865592,0.607030172513528,1,0,1,2
8592,0,-1,-1,0,,4,-1,0.4178022446620826,0.5821977553379608,1,1,1,2
8593,0,-1,-1,0,,4,-1,0.4484414887905399,0.5515585112094611,1,1,1,2
8594,0,-1,-1,0,,4,-1,0.4856558101311931,0.5143441898687302,1,1,1,2
8595,1,-1,1,0,-1.0,4,-1,0.5303783228273101,0.4696216771727862,1,0,1,1
8596,0,1,-1,1,,4,2,0.5453526975508226,0.4546473024492485,1,0,1,1
8597,1,-1,1,0,2.0,4,-1,0.5376605125235548,0.4623394874765556,1,0,1,1
8598,0,1,-1,1,,4,2,0.5036640325495966,0.4963359674504446,1,0,1,1
8599,0,-1,-1,0,,4,-1,0.4272858763264676,0.572714123673644,1,1,1,2
8600,0,-1,1,0,1.0,4,-1,0.3617904272887497,0.6382095727111734,0,1,0,2
8601,0,-1,1,1,0.0,4,0,0.3422146946195019,0.6577853053806075,0,1,0,2
8602,1,-1,1,1,0.0,4,0,0.3516233570281624,0.6483766429718598,1,0,1,2
8603,1,1,-1,1,,4,2,0.3385263085128565,0.661473691487195,0,0,0,2
8604,0,1,-1,0,,4,1,0.3540281359838418,0.6459718640161771,1,0,1,2
8605,0,-1,1,0,2.0,4,-1,0.3468676168591942,0.6531323831408885,0,1,0,2
8606,0,-1,-1,1,,4,0,0.3691778275678603,0.630822172432047,1,1,1,2
8607,0,-1,-1,0,,4,-1,0.3967479392511199,0.6032520607489159,1,1,1,2
8608,0,-1,-1,0,,4,-1,0.4302692465555325,0.5697307534444859,1,1,1,2
8609,1,-1,1,0,-2.0,4,-1,0.4705822647670967,0.5294177352328099,1,0,1,2
8610,1,1,1,1,-2.0,4,2,0.4824000420520197,0.5175999579480773,1,0,1,2
8611,0,1,-1,1,,4,2,0.4993523825560012,0.5006476174439375,1,0,1,2
8612,0,-1,-1,0,,4,-1,0.4931952345200718,0.5068047654799273,1,1,1,2
8613,1,-1,1,0,-3.0,4,-1,0.4918294892340802,0.5081705107658216,1,0,1,2
8614,1,1,-1,1,,4,2,0.4659459733511749,0.5340540266488573,0,0,0,2
8615,1,1,1,0,-1.0,4,1,0.4719141643818378,0.5280858356182629,1,0,1,2
8616,1,1,-1,1,,4,2,0.4826894779890517,0.5173105220109806,0,0,0,2
8617,0,1,-1,0,,4,1,0.5338291109473646,0.4661708890527176,1,0,1,1
