isi,block,trial,isi_ms,isi_frames,theta,log_cnt,resp,rt,stim_duration,blank_duration,cnt,correct
48,8,1093,940,94,-45,-1.8546873026985,1,0.542030700000396,0.0410610999997516,0.936927699999615,0.0139737412527265,0
29,8,1094,560,56,-45,-1.8546873026985,-1,0.553515100000368,0.0414577000001373,0.5569145999998,0.0139737412527265,1
22,8,1095,420,42,45,-1.8546873026985,1,0.479331100000309,0.046686700000464,0.418394100000114,0.0139737412527265,1
4,8,1096,60,6,45,-1.8546873026985,1,0.584376099999645,0.0400227999998606,0.0798555000001215,0.0139737412527265,1
16,8,1097,300,30,45,-1.8546873026985,1,0.461995800000295,0.041026700000657,0.296788300000117,0.0139737412527265,1
2,8,1098,20,2,45,-1.8546873026985,1,0.659477400000469,0.0399277000005895,0.0367914999997083,0.0139737412527265,1
37,8,1099,720,72,45,-1.8546873026985,1,1.3765355000005,0.047816000000239,0.719755099999929,0.0139737412527265,1
47,8,1100,920,92,-45,-1.8546873026985,-1,0.52977539999938,0.0412550999999439,0.916808599999968,0.0139737412527265,1
42,8,1101,820,82,45,-1.8546873026985,1,0.419624600000134,0.0436766000002535,0.816731400000208,0.0139737412527265,1
37,8,1102,720,72,45,-1.8546873026985,1,0.463892599999781,0.0484891000005518,0.719760299999507,0.0139737412527265,1
48,8,1103,940,94,-45,-1.8546873026985,1,0.567096499999934,0.0451179000001503,0.939752000000226,0.0139737412527265,0
41,8,1104,800,80,45,-1.8546873026985,1,0.475234999999884,0.0403964999995878,0.796493000000737,0.0139737412527265,1
3,8,1105,40,4,45,-1.8546873026985,-1,0.519047499999942,0.0499929999996311,0.0546309999999721,0.0139737412527265,0
42,8,1106,820,82,45,-1.8546873026985,1,0.482379100000799,0.043101299999762,0.81851209999968,0.0139737412527265,1
30,8,1107,580,58,45,-1.8546873026985,1,0.584051800000452,0.0506295999994109,0.581151800000043,0.0139737412527265,1
27,8,1108,520,52,45,-1.8546873026985,1,0.450989300000401,0.049275100000159,0.52338409999993,0.0139737412527265,1
36,8,1109,700,70,-45,-1.8546873026985,-1,0.685635900000307,0.0410016000005271,0.697007599999779,0.0139737412527265,1
