ID,block,theta,prev_resp,resp,correct,isi_ms,Gl_Prob_State_ext,Gl_Prob_State_int
1,1,1,1,1,1,680,0.9427707837381223,0.05722921626192535
1,1,1,1,0,0,700,0.9355507024719467,0.06444929752804222
1,1,-1,-1,0,1,140,0.9467343066351452,0.05326569336483075
1,1,-1,-1,1,0,660,0.9660582297563651,0.033941770243592906
1,1,-1,1,1,0,400,0.9721109134504581,0.02788908654951871
1,1,-1,1,0,1,400,0.9741373495731978,0.025862650426760246
1,1,1,-1,1,1,320,0.9806517865316645,0.0193482134683325
1,1,1,1,1,1,860,0.9830481187504857,0.016951881249523265
1,1,1,1,1,1,260,0.9842541115680292,0.015745888431998038
1,1,-1,1,1,0,640,0.9844443587853803,0.015555641214651543
1,1,1,1,1,1,720,0.9823914541828785,0.01760854581708904
1,1,1,1,1,1,80,0.9790020152094151,0.020997984790604624
1,1,1,1,1,1,120,0.9737853465427451,0.026214653457272113
1,1,1,1,0,0,440,0.9659862214531512,0.03401377854680683
1,1,1,-1,1,1,380,0.9723081100454435,0.02769188995460655
1,1,-1,1,0,1,900,0.9736490015778629,0.026350998422090727
1,1,1,-1,1,1,840,0.9794383133603973,0.020561686639592656
1,1,-1,1,1,0,60,0.9811232412186759,0.018876758781343754
1,1,1,0,1,1,340,0.9801558232662647,0.019844176733786387
1,1,-1,1,0,1,860,0.9766712790997408,0.023328720900283654
1,1,1,-1,1,1,920,0.9773959482452099,0.022604051754841988
1,1,1,1,1,1,940,0.9741114908390385,0.02588850916098325
1,1,-1,1,1,0,160,0.9686290474099978,0.031370952590002235
1,1,-1,1,0,1,140,0.9578259931228696,0.04217400687717428
1,1,-1,-1,0,1,960,0.9524079141741291,0.047592085825894234
1,1,1,-1,1,1,380,0.9530335759808597,0.04696642401915711
1,1,-1,1,0,1,760,0.9469390399486421,0.053060960051302
1,1,-1,0,0,1,640,0.946087528069762,0.053912471930189054
1,1,-1,-1,0,1,560,0.9510461972173971,0.04895380278257365
1,1,-1,-1,1,0,700,0.9627216905567687,0.037278309443184644
1,1,-1,1,0,1,200,0.9638034577611088,0.03619654223887269
1,1,1,-1,1,1,540,0.9696622210566823,0.03033777894330586
1,1,-1,1,0,1,620,0.9703472769085327,0.02965272309146285
1,1,1,-1,1,1,840,0.9755594440904574,0.02444055590949747
1,1,-1,1,0,1,500,0.9763229298828395,0.02367707011720713
1,1,1,-1,1,1,720,0.9813853384531506,0.018614661546823893
1,1,-1,1,0,1,300,0.9827153222815891,0.017284677718389478
1,1,-1,-1,1,0,180,0.9881001265662416,0.01189987343370722
1,1,-1,1,1,0,880,0.9885754807472834,0.01142451925271953
1,1,-1,1,1,0,380,0.9874408996094625,0.01255910039054776
1,1,1,1,1,1,440,0.9843725985796742,0.015627401420328448
1,1,-1,1,0,1,80,0.9800116685887352,0.019988331411270488
1,1,-1,-1,0,1,860,0.979755432686073,0.020244567313982328
1,1,1,-1,1,1,520,0.9842690489603697,0.015730951039584995
1,1,1,1,1,1,900,0.9855260073056069,0.01447399269438794
1,1,1,1,1,1,260,0.9858893789435562,0.014110621056391564
1,1,1,1,1,1,540,0.9854117698556598,0.014588230144396471
1,1,-1,1,0,1,500,0.9840240356944406,0.015975964305614408
