Unnamed: 0,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
2972,0,-1,-1,1,,11,0,0.9224718314143617,0.07752816858562053,1,1,1,1
2973,0,-1,-1,0,,11,-1,0.9457962995139874,0.0542037004859597,1,1,1,1
2974,0,-1,-1,0,,11,-1,0.96556272021828,0.03443727978166835,1,1,1,1
2975,0,-1,1,0,-2.0,11,-1,0.9825042795938629,0.017495720406142886,0,1,0,1
2976,1,-1,2,1,10.0,11,0,0.9873531710648354,0.012646828935206626,1,0,1,1
2977,0,1,1,2,-3.0,11,3,0.9927473582877638,0.0072526417122817126,0,0,0,1
2978,1,-1,1,1,-2.0,11,0,0.9920877593246765,0.007912240675291627,1,0,1,1
2979,0,1,1,1,0.0,11,2,0.9975755716351679,0.00242442836484488,0,0,0,1
2980,0,-1,1,1,-3.0,11,0,0.9985184285651679,0.0014815714347830437,0,1,0,1
2981,0,-1,-1,1,,11,0,0.9983849770293579,0.0016150229706732163,1,1,1,1
2982,0,-1,1,0,-3.0,11,-1,0.9989006650147773,0.0010993349852470515,0,1,0,1
2983,0,-1,1,1,-1.0,11,0,0.998656567483033,0.001343432517010739,0,1,0,1
2984,0,-1,-1,1,,11,0,0.9973115230736669,0.002688476926365237,1,1,1,1
2985,1,-1,2,0,10.0,11,-1,0.9964728584680089,0.003527141531991011,1,0,1,1
2986,0,1,1,2,1.0,11,3,0.9964593834824256,0.003540616517576926,0,0,0,1
2987,0,-1,-1,1,,11,0,0.9922172171798361,0.007782782820119267,1,1,1,1
2988,1,-1,1,0,2.0,11,-1,0.9878626510304614,0.012137348969541668,1,0,1,1
2989,0,1,1,1,3.0,11,2,0.9902123902213842,0.009787609778609612,0,0,0,1
2990,1,-1,2,1,-10.0,11,0,0.9860941901109447,0.013905809889000885,1,0,1,1
2991,0,1,-1,2,,11,3,0.9825582602165084,0.017441739783487127,1,0,1,1
2992,0,-1,-1,0,,11,-1,0.9772688542335747,0.022731145766387725,1,1,1,1
2993,1,-1,1,0,-1.0,11,-1,0.9712967502085736,0.028703249791442998,1,0,1,1
2994,1,1,1,1,0.0,11,2,0.9749512704952413,0.025048729504742438,1,1,1,1
2995,0,1,1,1,3.0,11,2,0.9870666708282231,0.01293332917174123,0,0,0,1
2996,0,-1,-1,1,,11,0,0.9881712286252179,0.011828771374801077,1,1,1,1
2997,0,-1,-1,0,,11,-1,0.9893161712489604,0.010683828751081726,1,1,1,1
2998,0,-1,1,0,0.0,11,-1,0.9905439674899154,0.009456032510136204,0,1,0,1
