,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct
6192,0,-1,1,0,-1.0,15,-1,0.0922715247574452,0.9077284752425284,0
6193,1,-1,1,1,3.0,15,0,0.0891292375122076,0.9108707624878256,1
6194,1,1,2,1,10.0,15,2,0.1042542427481898,0.8957457572518267,1
6195,0,1,-1,2,,15,3,0.1175320146137745,0.8824679853862443,1
6196,0,-1,-1,0,,15,-1,0.1236334958274964,0.8763665041725928,1
6197,0,-1,-1,0,,15,-1,0.1256289267013502,0.8743710732986174,1
6198,0,-1,-1,0,,15,-1,0.1235879440359832,0.8764120559639721,1
6199,1,-1,1,0,-3.0,15,-1,0.1174393213585571,0.8825606786413727,1
6200,0,1,-1,1,,15,2,0.131338389270181,0.868661610729772,1
6201,1,-1,2,0,-10.0,15,-1,0.1377939291010524,0.862206070898877,1
6202,1,1,1,2,-1.0,15,3,0.1420894135575841,0.857910586442478,1
6203,1,1,1,1,1.0,15,2,0.16663750487178,0.833362495128264,1
6204,0,1,1,1,0.0,15,2,0.2340278443128559,0.7659721556872253,0
6205,1,-1,1,1,-2.0,15,0,0.2399063921685056,0.7600936078314919,1
6206,0,1,-1,1,,15,2,0.2827487062212488,0.7172512937788209,1
6207,0,-1,-1,0,,15,-1,0.311386100320101,0.6886138996798143,1
6208,1,-1,1,0,-1.0,15,-1,0.333312058662604,0.6666879413373717,1
6209,1,1,2,1,-10.0,15,2,0.4196964013500865,0.5803035986498508,1
6210,1,1,1,2,-1.0,15,3,0.5025005819086785,0.4974994180913372,1
6211,0,1,-1,1,,15,2,0.7153134644541863,0.2846865355459018,1
6212,0,-1,1,0,-3.0,15,-1,0.8696278794529452,0.1303721205471028,0
6213,0,-1,-1,1,,15,0,0.9177496279109814,0.0822503720889153,1
6214,0,-1,1,0,-3.0,15,-1,0.9586184539424152,0.0413815460575016,0
6215,1,-1,2,1,10.0,15,0,0.9705870732997044,0.0294129267002094,1
6216,0,1,1,2,3.0,15,3,0.9828198229240748,0.0171801770759397,0
6217,0,-1,-1,1,,15,0,0.9824479016706466,0.0175520983292618,1
6218,0,-1,1,0,0.0,15,-1,0.9821331240203308,0.0178668759795738,0
