response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,State
0,-1,1.0,1,3.0,1,0,0.3869999837639533,0.6130000162360525,0,1,0,2
0,-1,1.0,1,1.0,1,0,0.3566177977915648,0.6433822022084582,0,1,0,2
0,-1,1.0,1,2.0,1,0,0.35822575189629036,0.6417742481037273,0,1,0,2
0,-1,-1.0,1,,1,0,0.39319881840030924,0.6068011815997069,1,1,1,2
0,-1,1.0,0,3.0,1,-1,0.43562044847873455,0.5643795515212217,0,1,0,2
0,-1,-1.0,1,,1,0,0.5508054395866503,0.44919456041331396,1,1,1,1
1,-1,2.5,0,10.0,1,-1,0.6863776006524999,0.3136223993475293,1,0,1,1
0,1,1.0,2,-1.0,1,3,0.7883710779697151,0.2116289220302873,0,0,0,1
0,-1,-1.0,1,,1,0,0.8169875415708271,0.18301245842915506,1,1,1,1
1,-1,1.0,0,2.0,1,-1,0.8536349599654074,0.1463650400345677,1,0,1,1
1,1,1.0,1,-1.0,1,2,0.8673031248641978,0.13269687513578787,1,0,1,1
0,1,-1.0,1,,1,2,0.8871698349645136,0.11283016503549431,1,0,1,1
0,-1,-1.0,0,,1,-1,0.8910846002586867,0.10891539974127087,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9003318291000788,0.09966817089996727,1,1,1,1
1,-1,2.5,0,10.0,1,-1,0.9151789638284066,0.08482103617159722,1,0,1,1
1,1,1.0,2,1.0,1,3,0.9255226540279761,0.0744773459720249,1,0,1,1
0,1,-1.0,1,,1,2,0.9413405535036692,0.058659446496339925,1,0,1,1
1,-1,1.0,0,0.0,1,-1,0.9456349222077783,0.05436507779225443,1,0,1,1
1,1,1.0,1,3.0,1,2,0.9406972755279036,0.05930272447208971,1,0,1,1
1,1,1.0,1,3.0,1,2,0.9404006110455431,0.059599388954448995,1,0,1,1
1,1,1.0,1,-3.0,1,2,0.9447363488233862,0.05526365117660657,1,0,1,1
0,1,-1.0,1,,1,2,0.9538298842503397,0.04617011574966011,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9540997866258132,0.04590021337421699,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9587864858685173,0.041213514131530814,1,1,1,1
1,-1,2.5,0,10.0,1,-1,0.9680255276466299,0.031974472353397884,1,0,1,1
0,1,-1.0,2,,1,3,0.975343476547064,0.024656523452888896,1,0,1,1
1,-1,1.0,0,2.0,1,-1,0.9766179130935295,0.023382086906478434,1,0,1,1
1,1,1.0,1,-2.0,1,2,0.9725288885710778,0.02747111142887177,1,0,1,1
1,1,1.0,1,-1.0,1,2,0.9724506697562316,0.02754933024378389,1,0,1,1
1,1,1.0,1,0.0,1,2,0.9763809944550736,0.02361900554491591,1,0,1,1
0,1,-1.0,1,,1,2,0.9844335329631139,0.015566467036834201,1,0,1,1
1,-1,1.0,0,-3.0,1,-1,0.987512088847237,0.012487911152749552,1,0,1,1
1,1,1.0,1,-3.0,1,2,0.9872594083795881,0.012740591620442356,1,0,1,1
0,1,-1.0,1,,1,2,0.9905316161763208,0.009468383823719239,1,0,1,1
1,-1,2.5,0,-10.0,1,-1,0.9911053363831936,0.008894663616818918,1,0,1,1
0,1,-1.0,2,,1,3,0.9921597335455691,0.007840266454479664,1,0,1,1
0,-1,-1.0,0,,1,-1,0.991130643401299,0.008869356598707722,1,1,1,1
1,-1,1.0,0,1.0,1,-1,0.9934302463058654,0.006569753694177237,1,0,1,1
0,1,-1.0,1,,1,2,0.9939126007181784,0.006087399281814831,1,0,1,1
