,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
1107,1,1,1.0,1,2.0,1,2,0.7451052301526461,0.2548947698473976,1,0,1,1
1108,0,1,-1.0,1,,1,2,0.7482496473890531,0.2517503526109275,1,0,1,1
1109,1,-1,-1.0,0,,1,-1,0.7302852815961626,0.2697147184038624,0,0,0,1
1110,1,1,1.0,0,0.0,1,1,0.6523263850710267,0.3476736149289439,1,0,1,1
1111,1,1,-1.0,1,,1,2,0.5872833908593631,0.4127166091406344,0,0,0,1
1112,1,1,1.0,0,-2.0,1,1,0.5693458655857166,0.4306541344142549,1,0,1,1
1113,1,1,1.0,1,-2.0,1,2,0.557512014363602,0.4424879856364464,1,0,1,1
1114,1,1,2.5,1,10.0,1,2,0.5514395862422944,0.4485604137576784,1,0,1,1
1115,1,1,1.0,2,-2.0,1,3,0.5458227667324501,0.4541772332675118,1,0,1,1
1116,1,1,1.0,1,2.0,1,2,0.5457649660770562,0.4542350339229224,1,0,1,1
1117,0,1,-1.0,1,,1,2,0.5512645126031066,0.4487354873968401,1,0,1,1
1118,1,-1,-1.0,0,,1,-1,0.5316785229876753,0.4683214770122795,0,0,0,1
1119,1,1,1.0,0,2.0,1,1,0.4436689668616865,0.556331033138269,1,0,1,2
1120,1,1,1.0,1,2.0,1,2,0.3690686393901127,0.6309313606098723,1,0,1,2
1121,1,1,2.5,1,-10.0,1,2,0.3057199984072561,0.6942800015927797,1,0,1,2
1122,1,1,-1.0,2,,1,3,0.2418881064600722,0.7581118935398813,0,0,0,2
1123,1,1,1.0,0,3.0,1,1,0.2213697536773381,0.7786302463227175,1,0,1,2
1124,1,1,1.0,1,0.0,1,2,0.2048223324531394,0.7951776675468755,1,0,1,2
1125,1,1,-1.0,1,,1,2,0.1917672690300701,0.8082327309699857,0,0,0,2
1126,1,1,2.5,0,-10.0,1,1,0.2022376663570919,0.7977623336429411,1,0,1,2
1127,1,1,-1.0,2,,1,3,0.2114803383514035,0.7885196616486134,0,0,0,2
1128,0,1,-1.0,0,,1,1,0.252794571567127,0.7472054284329287,1,0,1,2
1129,0,-1,-1.0,0,,1,-1,0.2646266786295138,0.7353733213704591,1,1,1,2
1130,0,-1,-1.0,0,,1,-1,0.2805302383269453,0.719469761673085,1,1,1,2
1131,1,-1,1.0,0,-2.0,1,-1,0.3009652030724136,0.6990347969275745,1,0,1,2
1132,1,1,-1.0,1,,1,2,0.2968586444382579,0.7031413555617003,0,0,0,2
1133,1,1,1.0,0,2.0,1,1,0.3220736606845042,0.677926339315439,1,0,1,2
1134,0,1,-1.0,1,,1,2,0.3530770800955995,0.6469229199043496,1,0,1,2
1135,1,-1,1.0,0,-3.0,1,-1,0.3567214082703543,0.6432785917295996,1,0,1,2
1136,1,1,-1.0,1,,1,2,0.3349512928778758,0.6650487071221652,0,0,0,2
1137,1,1,2.5,0,10.0,1,1,0.3428785172347484,0.6571214827652805,1,0,1,2
1138,1,1,-1.0,2,,1,3,0.3502684611448591,0.649731538855141,0,0,0,2
1139,0,1,1.0,0,-2.0,1,1,0.3939961140341504,0.6060038859658514,0,0,0,2
1140,1,-1,1.0,1,1.0,1,0,0.3918790220886164,0.608120977911403,1,0,1,2
1141,1,1,1.0,1,1.0,1,2,0.3625908867396499,0.6374091132603042,1,0,1,2
1142,1,1,1.0,1,-2.0,1,2,0.3392171302781913,0.660782869721858,1,0,1,2
1143,1,1,-1.0,1,,1,2,0.3210817521174663,0.678918247882552,0,0,0,2
1144,1,1,-1.0,0,,1,1,0.3318600390048093,0.6681399609952231,0,0,0,2
1145,1,1,2.5,0,10.0,1,1,0.380768576231531,0.6192314237684186,1,0,1,2
1146,1,1,1.0,2,-1.0,1,3,0.4294756718428166,0.5705243281571774,1,0,1,2
1147,1,1,-1.0,1,,1,2,0.4876811512022342,0.5123188487977204,0,0,0,2
1148,0,1,-1.0,0,,1,1,0.6391104024231834,0.3608895975768688,1,0,1,1
1149,1,-1,-1.0,0,,1,-1,0.7111748727694508,0.2888251272305342,0,0,0,1
1150,1,1,2.5,0,-10.0,1,1,0.7262237313078961,0.2737762686921252,1,0,1,1
1151,0,1,1.0,2,-1.0,1,3,0.742552723642896,0.2574472763570711,0,0,0,1
1152,1,-1,1.0,1,0.0,1,0,0.7241903147626036,0.2758096852373404,1,0,1,1
1153,1,1,-1.0,1,,1,2,0.6746929741512325,0.3253070258487249,0,0,0,1
1154,1,1,1.0,0,3.0,1,1,0.6647608342214546,0.3352391657785505,1,0,1,1
1155,1,1,-1.0,1,,1,2,0.6607696165556428,0.3392303834443016,0,0,0,1
1156,1,1,-1.0,0,,1,1,0.6892558283345968,0.3107441716653507,0,0,0,1
1157,1,1,2.5,0,-10.0,1,1,0.7745782200008847,0.2254217799991185,1,0,1,1
1158,0,1,1.0,2,-3.0,1,3,0.8617549495717401,0.1382450504282726,0,0,0,1
1159,0,-1,1.0,1,-1.0,1,0,0.8866870909341125,0.1133129090659137,0,1,0,1
1160,1,-1,-1.0,1,,1,0,0.9587372599357707,0.0412627400642441,0,0,0,1
1161,0,1,1.0,0,0.0,1,1,0.9816879162039912,0.0183120837960299,0,0,0,1
1162,1,-1,1.0,1,2.0,1,0,0.9882440289355852,0.0117559710643757,1,0,1,1
1163,0,1,-1.0,1,,1,2,0.9908722756820384,0.0091277243179155,1,0,1,1
1164,1,-1,-1.0,0,,1,-1,0.9909751135394228,0.0090248864606051,0,0,0,1
1165,1,1,1.0,0,2.0,1,1,0.9851078406346347,0.0148921593653292,1,0,1,1
1166,1,1,1.0,1,2.0,1,2,0.9829694905015808,0.0170305094984728,1,0,1,1
1167,0,1,1.0,1,3.0,1,2,0.9844982191678128,0.0155017808322147,0,0,0,1
1168,0,-1,-1.0,1,,1,0,0.9778635286576554,0.0221364713423525,1,1,1,1
1169,1,-1,2.5,0,10.0,1,-1,0.9752173032603456,0.0247826967396547,1,0,1,1
1170,1,1,-1.0,2,,1,3,0.9716714135781052,0.0283285864218419,0,0,0,1
1171,0,1,-1.0,0,,1,1,0.9811633636174772,0.0188366363825349,1,0,1,1
1172,1,-1,1.0,0,2.0,1,-1,0.9847887339353152,0.0152112660647332,1,0,1,1
1173,0,1,-1.0,1,,1,2,0.984482056110394,0.0155179438896035,1,0,1,1
1174,1,-1,2.5,0,-10.0,1,-1,0.9800796839812846,0.0199203160187079,1,0,1,1
1175,0,1,-1.0,2,,1,3,0.9749165195692888,0.0250834804307296,1,0,1,1
1176,1,-1,-1.0,0,,1,-1,0.9620444031153396,0.0379555968846703,0,0,0,1
1177,1,1,-1.0,0,,1,1,0.9185312976477872,0.0814687023522463,0,0,0,1
1178,1,1,-1.0,0,,1,1,0.9061247086695856,0.0938752913304354,0,0,0,1
1179,1,1,1.0,0,-2.0,1,1,0.9142156788681528,0.0857843211318936,1,0,1,1
1180,0,1,1.0,1,0.0,1,2,0.927693966688102,0.0723060333118853,0,0,0,1
1181,0,-1,-1.0,1,,1,0,0.9216368789652564,0.0783631210347589,1,1,1,1
1182,1,-1,2.5,0,10.0,1,-1,0.920499993712344,0.0795000062877054,1,0,1,1
1183,0,1,1.0,2,-2.0,1,3,0.916030460741562,0.0839695392584618,0,0,0,1
1184,0,-1,-1.0,1,,1,0,0.8841691214281997,0.1158308785717638,1,1,1,1
1185,0,-1,1.0,0,0.0,1,-1,0.8596720108873428,0.1403279891127026,0,1,0,1
1186,0,-1,-1.0,1,,1,0,0.8609442071039295,0.1390557928960201,1,1,1,1
1187,0,-1,-1.0,0,,1,-1,0.8676739988407615,0.1323260011592461,1,1,1,1
1188,0,-1,-1.0,0,,1,-1,0.8800560207585165,0.1199439792414811,1,1,1,1
1189,1,-1,1.0,0,-2.0,1,-1,0.8984483776443245,0.1015516223556939,1,0,1,1
1190,0,1,1.0,1,-3.0,1,2,0.9018822552690692,0.0981177447309796,0,0,0,1
1191,0,-1,1.0,1,2.0,1,0,0.8813143090001762,0.1186856909998126,0,1,0,1
1192,1,-1,1.0,1,1.0,1,0,0.8843286970937063,0.1156713029063294,1,0,1,1
1193,1,1,-1.0,1,,1,2,0.8729136748094285,0.1270863251905417,0,0,0,1
1194,1,1,1.0,0,-2.0,1,1,0.8843768086157644,0.1156231913842056,1,0,1,1
1195,0,1,1.0,1,0.0,1,2,0.9017412155626352,0.0982587844373181,0,0,0,1
1196,0,-1,-1.0,1,,1,0,0.8959122767734716,0.1040877232265182,1,1,1,1
1197,0,-1,1.0,0,0.0,1,-1,0.8952585301829779,0.1047414698170653,0,1,0,1
1198,0,-1,-1.0,1,,1,0,0.9179693113439767,0.0820306886560312,1,1,1,1
1199,1,-1,1.0,0,0.0,1,-1,0.9476660416765976,0.0523339583233836,1,0,1,1
