ID,block,theta,prev_resp,resp,correct,isi_ms
1,1,-1,1,1,0,740
1,1,1,1,1,1,220
1,2,1,0,1,1,900
1,2,1,0,1,1,880
1,2,-1,1,0,1,920
1,2,1,0,1,1,580
1,2,1,1,1,1,460
1,2,1,1,1,1,980
1,2,1,1,1,1,600
1,2,-1,1,0,1,1000
1,2,1,-1,1,1,340
1,2,1,0,1,1,680
1,2,1,0,1,1,780
1,2,1,1,1,1,440
1,2,1,1,1,1,620
1,2,1,1,1,1,920
1,2,-1,1,0,1,840
1,2,1,-1,1,1,760
1,2,-1,1,0,1,940
1,2,1,-1,1,1,940
1,2,-1,1,0,1,720
1,2,-1,-1,1,0,280
1,2,1,1,1,1,420
1,2,1,1,1,1,840
1,2,1,1,0,0,720
1,2,1,-1,1,1,300
1,2,-1,0,0,1,220
1,2,-1,-1,0,1,260
1,2,1,-1,1,1,520
1,2,-1,1,0,1,360
1,2,-1,-1,1,0,600
1,2,-1,1,1,0,360
1,2,1,1,1,1,480
1,2,1,1,1,1,560
1,2,-1,1,0,1,500
1,2,1,-1,1,1,760
1,2,1,1,1,1,380
1,2,-1,1,1,0,380
1,2,-1,0,0,1,740
1,2,-1,-1,1,0,840
1,2,1,1,1,1,700
1,2,-1,1,0,1,640
1,2,1,-1,1,1,660
1,2,-1,1,0,1,280
1,2,-1,-1,1,0,980
1,2,-1,1,1,0,620
1,2,1,1,0,0,200
1,2,1,-1,0,0,480
1,2,1,-1,1,1,460
1,2,1,1,1,1,560
1,2,1,1,1,1,800
1,2,1,1,1,1,500
1,2,1,1,1,1,580
1,2,-1,1,0,1,440
1,2,1,0,1,1,980
1,2,1,1,1,1,380
1,2,-1,1,0,1,880
1,2,1,-1,1,1,260
1,2,-1,0,0,1,400
1,2,-1,-1,1,0,340
1,2,-1,1,0,1,700
1,2,-1,-1,0,1,720
1,2,1,-1,1,1,220
1,2,1,1,1,1,940
1,2,1,1,1,1,900
1,2,1,1,1,1,660
1,2,1,1,1,1,660
1,2,1,1,1,1,820
1,2,-1,0,0,1,520
1,2,-1,-1,1,0,320
1,2,1,1,0,0,700
1,2,1,-1,1,1,960
1,2,-1,0,1,0,300
1,2,-1,1,0,1,420
1,2,1,-1,1,1,560
1,2,1,0,1,1,620
1,2,-1,1,0,1,740
1,2,-1,0,1,0,360
1,2,-1,1,0,1,800
1,2,-1,0,1,0,300
1,2,-1,0,0,1,460
1,2,1,-1,1,1,880
1,2,-1,1,1,0,900
1,2,-1,0,0,1,540
1,2,-1,-1,1,0,540
1,2,-1,1,0,1,920
1,2,1,0,0,0,580
1,2,1,-1,1,1,860
1,2,-1,1,1,0,860
1,2,-1,1,1,0,640
1,2,1,1,1,1,480
1,2,1,1,0,0,420
1,2,1,-1,1,1,640
1,2,1,1,1,1,240
